temperature,oil_temperature,oil_pressure,voltage,current,vibration,load,power_factor,frequency,temp_oil_delta,apparent_power_ratio,temp_rate_of_change,vib_rate_of_change,rolling_temp_std,rolling_current_std,failure_label,failure_mode,is_failure
57.91,49.49,25.82,402.76,25.15,1.7,45.9,0.979,49.99,8.41,0.507,0.0143,0.0009,0.803,0.541,0,NORMAL,0
103.82,86.39,32.01,386.3,76.58,2.73,122.22,0.928,49.87,17.43,1.479,0.3085,0.1257,3.629,6.913,1,THERMAL_OVERLOAD,1
61.5,54.25,23.79,398.9,27.64,1.33,47.21,0.97,50.01,7.25,0.551,-0.0563,0.0124,0.42,1.026,0,NORMAL,0
58.84,49.96,23.52,396.52,32.41,1.26,54.61,0.974,50.08,8.88,0.643,0.0128,-0.0047,0.937,0.731,0,NORMAL,0
75.68,84.75,10.95,366.75,44.89,3.28,76.18,0.784,49.82,-9.08,0.823,0.191,-0.026,2.05,3.995,3,DIELECTRIC_FAULT,1
66.74,62.61,25.46,396.48,44.41,1.01,75.42,0.931,49.98,4.14,0.88,0.0027,-0.0007,0.606,1.409,0,NORMAL,0
66.0,59.23,23.7,399.38,43.26,1.08,74.92,0.969,49.95,6.77,0.864,0.0266,0.028,0.587,1.864,0,NORMAL,0
62.73,56.52,20.58,401.37,37.89,0.97,64.93,0.951,49.99,6.21,0.76,0.0023,-0.0045,1.142,1.503,0,NORMAL,0
56.66,48.54,26.49,397.7,31.79,1.28,54.11,0.98,50.04,8.12,0.632,-0.0139,0.0134,0.395,0.971,0,NORMAL,0
65.15,59.41,22.22,397.44,44.51,1.56,75.0,0.938,49.92,5.73,0.885,-0.0268,0.0103,0.51,1.255,0,NORMAL,0
82.61,81.01,43.7,410.25,33.4,2.75,64.36,0.782,49.71,1.59,0.685,0.3582,0.0828,3.079,2.837,3,DIELECTRIC_FAULT,1
59.58,51.45,23.0,399.45,33.48,1.59,60.95,0.945,49.91,8.13,0.669,-0.013,-0.007,0.553,0.573,0,NORMAL,0
64.34,55.26,23.4,397.43,34.83,1.4,58.43,0.939,50.05,9.09,0.692,0.0099,-0.0115,0.468,1.73,0,NORMAL,0
61.93,52.17,27.88,394.99,34.07,1.0,55.56,0.93,49.97,9.76,0.673,0.0017,-0.0062,0.655,1.277,0,NORMAL,0
59.03,54.59,28.92,393.7,27.63,1.92,46.85,0.933,49.93,4.43,0.544,0.0107,-0.0012,0.321,1.1,0,NORMAL,0
64.49,56.22,28.18,398.46,34.17,1.01,62.93,0.966,49.97,8.26,0.681,-0.0013,-0.0393,1.187,1.803,0,NORMAL,0
60.6,56.47,22.64,396.79,38.56,1.8,62.31,0.961,50.07,4.13,0.765,0.0344,0.0118,0.831,1.128,0,NORMAL,0
70.21,89.39,10.27,402.73,39.93,2.61,69.07,0.739,49.39,-19.18,0.804,0.228,0.0106,3.864,2.859,3,DIELECTRIC_FAULT,1
64.87,55.68,25.55,404.55,39.7,1.48,67.29,0.979,50.0,9.2,0.803,-0.0244,0.0165,0.738,1.988,0,NORMAL,0
60.3,53.98,20.73,402.56,32.58,1.61,54.43,0.973,50.16,6.32,0.656,-0.0016,0.0057,1.028,1.647,0,NORMAL,0
65.0,55.75,21.45,405.51,34.66,2.1,54.65,0.956,49.98,9.26,0.703,0.0471,-0.0158,0.571,1.451,0,NORMAL,0
87.13,82.28,54.15,380.21,43.36,3.44,85.66,0.695,49.81,4.85,0.824,0.1186,-0.0832,1.687,2.81,3,DIELECTRIC_FAULT,1
67.84,60.79,26.45,404.03,44.35,1.81,74.92,0.953,50.0,7.05,0.896,-0.0198,-0.0054,1.021,0.754,0,NORMAL,0
62.22,53.49,26.66,393.05,33.14,1.64,55.13,0.965,50.04,8.73,0.651,-0.0036,0.0602,0.725,0.974,0,NORMAL,0
77.94,70.03,26.33,391.98,39.0,7.7,68.49,0.939,50.1,7.92,0.764,0.0184,0.4237,1.888,2.839,2,MECHANICAL_FAULT,1
92.83,102.44,33.51,387.93,68.86,2.91,103.0,0.939,49.64,-9.61,1.336,0.1744,0.038,3.978,4.594,1,THERMAL_OVERLOAD,1
63.84,53.9,24.63,390.9,36.54,2.2,61.03,0.956,50.05,9.94,0.714,0.0062,-0.0247,0.426,1.454,0,NORMAL,0
106.38,98.88,59.94,343.2,113.29,15.62,150.28,0.753,48.32,7.5,1.944,0.7818,0.8884,9.603,11.548,4,CRITICAL_FAILURE,1
68.59,59.88,21.63,401.33,46.11,1.32,77.81,0.934,49.97,8.71,0.925,-0.0329,0.009,0.963,0.785,0,NORMAL,0
64.43,59.94,25.78,400.54,41.52,2.16,72.95,0.98,49.96,4.49,0.831,0.0086,0.0032,0.382,1.364,0,NORMAL,0
91.63,88.87,53.04,399.09,47.65,3.7,76.26,0.689,49.8,2.77,0.951,0.3196,0.0884,2.335,3.153,3,DIELECTRIC_FAULT,1
75.69,68.85,24.61,399.53,34.67,10.15,62.06,0.943,50.05,6.84,0.692,0.0482,0.1388,1.687,1.047,2,MECHANICAL_FAULT,1
114.17,92.93,26.05,389.36,72.78,2.55,120.98,0.905,49.77,21.24,1.417,0.2339,0.0235,4.317,3.694,1,THERMAL_OVERLOAD,1
65.67,59.14,26.47,398.93,37.63,2.18,61.9,0.943,49.97,6.53,0.751,0.0131,0.0023,0.452,0.607,0,NORMAL,0
65.85,57.91,19.89,398.94,37.45,0.89,60.76,0.969,50.11,7.94,0.747,0.0051,0.009,0.592,1.717,0,NORMAL,0
